"Age","Gender","OwnHome","Married","Location","Salary","Children","History","Catalogs","AmountSpent","Cust_Id"
"Old","Female","Own","Single","Far",47500,0,"High",6,755,247
"Middle","Male","Rent","Single","Close",63600,0,"High",6,1318,127
"Young","Female","Rent","Single","Close",13500,0,"Low",18,296,479
"Middle","Male","Own","Married","Close",85600,1,"High",18,2436,475
"Middle","Female","Own","Single","Close",68400,0,"High",12,1304,151
"Young","Male","Own","Married","Close",30400,0,"Low",6,495,320
"Middle","Female","Rent","Single","Close",48100,0,"Medium",12,782,804
"Middle","Male","Own","Single","Close",68400,0,"High",18,1155,790
"Middle","Female","Own","Married","Close",51900,3,"Low",6,158,43
"Old","Male","Own","Married","Far",80700,0,NA,18,3034,475
"Young","Male","Rent","Married","Close",43700,1,NA,12,927,157
"Middle","Male","Own","Married","Far",111800,3,"High",18,2065,1239
"Middle","Female","Own","Married","Close",44100,1,"Medium",24,704,562
"Middle","Male","Own","Married","Close",111400,0,"High",12,2136,1259
"Old","Female","Own","Married","Far",110000,0,"High",24,5564,477
"Middle","Female","Own","Married","Far",83100,1,NA,12,2766,808
"Old","Female","Own","Married","Close",82800,0,"High",24,3010,160
"Middle","Male","Own","Married","Close",90100,0,"High",18,1956,78
"Middle","Male","Rent","Single","Close",38600,1,"Low",18,542,666
"Old","Female","Rent","Single","Far",14000,0,"Low",12,410,1250
"Young","Female","Rent","Single","Far",14300,2,"Low",6,194,1154
"Young","Male","Rent","Married","Close",49800,0,"Medium",12,827,683
"Old","Female","Rent","Married","Far",60200,0,"High",18,2328,1221
"Young","Male","Rent","Married","Far",43500,1,"Medium",12,808,949
"Young","Female","Rent","Married","Close",41700,1,NA,6,521,661
"Middle","Female","Own","Married","Close",92300,3,"Low",18,655,1136
"Middle","Male","Own","Single","Close",62800,3,NA,6,707,973
"Middle","Female","Rent","Married","Far",72900,0,"High",18,2075,1240
"Middle","Female","Rent","Married","Close",66900,2,"Medium",12,769,1128
"Young","Male","Rent","Single","Close",21700,1,NA,18,774,602
"Old","Female","Rent","Married","Close",39700,0,"Medium",12,573,232
"Middle","Male","Rent","Married","Far",72200,1,"High",12,2082,1013
"Middle","Female","Rent","Married","Close",87700,3,NA,24,2446,266
"Middle","Male","Own","Married","Close",104100,0,"High",24,2636,921
"Middle","Male","Rent","Single","Far",67700,0,"High",12,2226,331
"Middle","Female","Own","Single","Close",27000,2,"Low",6,183,240
"Middle","Female","Own","Single","Far",64100,2,"High",24,1595,498
"Middle","Male","Rent","Single","Close",47000,1,"Medium",12,584,745
"Old","Female","Own","Married","Close",41600,0,NA,18,982,444
"Old","Female","Rent","Single","Close",20100,0,"Low",24,576,795
"Middle","Male","Own","Single","Close",64000,3,"Low",12,410,175
"Middle","Female","Own","Married","Far",96800,3,NA,24,3082,718
"Middle","Male","Rent","Married","Close",76200,1,NA,24,2437,586
"Old","Female","Rent","Married","Far",81500,0,"High",18,3655,1010
"Middle","Female","Own","Single","Close",49600,1,"Medium",12,844,599
"Old","Female","Own","Married","Close",111500,0,"High",18,2510,527
"Middle","Male","Own","Married","Close",77700,0,NA,6,983,1168
"Young","Male","Own","Married","Close",58900,0,NA,18,1215,949
"Middle","Male","Own","Married","Close",126500,2,"High",18,2000,220
"Middle","Female","Own","Married","Close",83300,1,"High",24,2574,857
"Middle","Female","Own","Married","Close",90500,1,"High",6,1116,269
"Middle","Female","Own","Married","Far",87200,0,"High",18,3604,1095
"Middle","Female","Own","Married","Close",105300,1,NA,24,3360,230
"Middle","Female","Own","Single","Far",56000,3,"Medium",6,530,903
"Middle","Female","Rent","Single","Close",46600,0,"Medium",24,906,60
"Old","Male","Rent","Married","Close",69800,0,"High",24,2764,1086
"Middle","Male","Own","Single","Close",60300,0,"High",24,1263,1082
"Young","Male","Rent","Married","Close",67800,0,"High",12,1084,962
"Middle","Male","Rent","Single","Close",42300,0,"Medium",24,1051,979
"Young","Female","Own","Married","Far",33700,0,NA,6,614,1286
"Middle","Male","Own","Single","Close",62700,2,"Medium",12,704,391
"Young","Female","Own","Single","Close",25900,2,NA,12,449,795
"Young","Female","Own","Single","Close",15600,1,"Low",6,136,209
"Old","Female","Own","Single","Close",14600,0,"Low",24,468,228
"Old","Female","Own","Married","Close",62600,0,"High",6,565,1057
"Young","Male","Rent","Married","Close",66700,0,NA,18,1310,555
"Middle","Male","Own","Married","Far",72500,0,NA,24,2595,40
"Young","Female","Rent","Single","Far",13200,0,NA,24,358,517
"Middle","Female","Own","Single","Close",51300,0,"Medium",24,1424,874
"Middle","Male","Own","Single","Far",72300,0,"High",24,4182,689
"Young","Female","Rent","Single","Close",15600,0,NA,12,468,590
"Middle","Female","Own","Married","Far",90400,1,"High",18,2924,253
"Middle","Male","Own","Single","Far",71500,0,NA,6,964,255
"Young","Male","Rent","Single","Close",14400,0,NA,24,615,419
"Young","Male","Rent","Single","Close",15000,3,"Low",6,38,593
"Middle","Male","Own","Single","Close",57600,1,NA,6,1006,927
"Young","Female","Rent","Married","Close",60600,3,"Low",12,307,1150
"Middle","Male","Own","Married","Far",84300,2,"High",18,1648,1012
"Young","Female","Own","Single","Close",24400,1,"Low",6,220,991
"Young","Female","Rent","Single","Close",22100,2,"Low",18,280,806
"Middle","Male","Rent","Married","Far",48800,2,NA,12,1647,831
"Middle","Female","Own","Married","Close",74700,1,"Medium",6,704,353
"Young","Female","Rent","Single","Far",32400,1,"Medium",24,920,1189
"Old","Female","Own","Single","Close",11400,0,NA,6,258,833
"Middle","Male","Own","Married","Close",127000,0,NA,12,1821,231
"Middle","Male","Rent","Single","Close",47200,0,"Medium",18,1587,676
"Middle","Female","Own","Single","Close",48700,2,"Low",12,528,174
"Young","Male","Rent","Single","Far",20400,0,"Medium",18,867,12
"Middle","Male","Rent","Single","Close",39000,0,NA,6,643,1064
"Young","Female","Rent","Single","Close",12900,1,"Low",6,107,120
"Middle","Female","Rent","Married","Far",67300,1,"High",18,1513,70
"Old","Male","Own","Married","Close",134500,0,"High",24,4558,170
"Old","Male","Own","Married","Close",75500,0,"High",6,741,552
"Old","Female","Own","Married","Far",33600,2,"Medium",12,805,581
"Young","Female","Rent","Single","Close",16300,1,NA,12,470,499
"Young","Male","Rent","Married","Close",27400,1,"Low",6,278,370
"Middle","Female","Own","Married","Close",110400,3,"Low",24,1093,885
"Young","Female","Rent","Single","Far",21100,1,"Low",6,470,250
"Middle","Male","Own","Married","Close",81200,0,"High",24,1856,642
"Middle","Male","Rent","Married","Far",87100,2,"High",18,1688,1072
"Young","Female","Rent","Single","Far",21700,3,NA,24,708,233
"Middle","Female","Rent","Single","Close",42200,0,NA,18,1753,144
"Middle","Male","Rent","Single","Far",59000,0,"High",24,3044,1157
"Middle","Female","Own","Single","Close",52700,2,"Low",18,855,529
"Young","Male","Own","Single","Close",20900,0,"Low",24,550,825
"Middle","Male","Own","Married","Far",90700,3,"High",24,2265,541
"Old","Female","Own","Married","Far",91800,0,NA,24,2452,531
"Young","Female","Own","Single","Far",27900,0,"Medium",18,1184,71
"Old","Female","Own","Married","Close",70700,0,"High",24,2150,1014
"Middle","Male","Own","Married","Close",79600,2,NA,6,1575,625
"Middle","Male","Rent","Married","Close",96400,1,"High",24,1822,1158
"Middle","Female","Own","Single","Close",46600,2,NA,18,1153,843
"Old","Male","Own","Married","Close",106600,0,"High",12,1877,1278
"Middle","Female","Rent","Married","Close",104900,3,"Low",6,450,737
"Old","Male","Rent","Single","Close",56300,0,"Medium",6,873,74
"Young","Female","Rent","Single","Close",14800,1,"Low",6,209,51
"Old","Male","Own","Married","Close",58300,0,"Medium",24,1472,519
"Middle","Male","Own","Single","Far",70200,0,"High",12,1702,1092
"Old","Male","Own","Married","Far",59700,0,"High",18,1857,797
"Young","Male","Rent","Single","Close",25800,0,NA,6,451,1272
"Young","Female","Rent","Single","Close",12000,0,"Low",24,344,600
"Middle","Male","Rent","Single","Far",51900,0,"High",18,1492,1245
"Middle","Female","Own","Single","Far",66800,3,NA,24,2098,775
"Middle","Male","Own","Married","Close",105300,1,NA,18,3505,684
"Young","Female","Rent","Single","Far",13800,3,"Low",6,127,879
"Young","Male","Rent","Single","Close",14800,3,NA,12,436,338
"Middle","Female","Own","Married","Far",44200,0,"High",24,2524,554
"Young","Male","Rent","Single","Close",10400,0,NA,18,189,347
"Middle","Female","Own","Single","Close",35200,0,"Medium",12,607,509
"Young","Female","Rent","Single","Far",16100,0,NA,6,202,657
"Middle","Male","Own","Married","Close",113000,2,"Medium",18,1554,211
"Middle","Male","Own","Married","Close",63300,2,NA,6,633,1012
"Young","Male","Rent","Single","Close",19100,0,NA,6,176,508
"Middle","Female","Own","Married","Close",93400,2,NA,24,3079,488
"Old","Female","Rent","Married","Far",52500,0,"High",24,2038,696
"Middle","Female","Rent","Married","Far",45400,3,"Medium",24,1203,662
"Young","Female","Own","Single","Far",21400,3,NA,6,326,624
"Middle","Female","Own","Single","Close",53700,3,"Low",12,235,414
"Young","Female","Own","Married","Far",68000,0,"High",24,3688,404
"Young","Male","Rent","Single","Close",17400,0,NA,12,332,1034
"Young","Female","Rent","Single","Close",14600,1,"Low",6,143,680
"Old","Female","Own","Married","Far",100100,0,"High",12,3104,122
"Middle","Male","Own","Married","Far",103700,1,"High",24,2339,1269
"Young","Female","Rent","Single","Far",10800,3,"Low",6,123,712
"Middle","Female","Own","Married","Close",81700,3,"Low",24,879,991
"Old","Female","Rent","Single","Close",21400,0,"Low",18,498,1034
"Old","Female","Own","Married","Close",114800,0,"High",18,3596,176
"Old","Female","Own","Married","Far",67900,0,"High",24,2925,1095
"Middle","Male","Own","Married","Close",53700,1,NA,12,1081,771
"Young","Female","Rent","Single","Far",11400,3,NA,12,312,930
"Young","Male","Rent","Married","Close",34300,3,NA,12,1297,1265
"Young","Female","Rent","Single","Close",16400,1,"Low",12,218,308
"Middle","Female","Own","Married","Far",109800,0,"High",18,4279,1024
"Middle","Male","Own","Single","Close",64200,0,"High",18,1642,705
"Young","Male","Rent","Single","Close",17000,0,NA,18,581,1230
"Middle","Female","Rent","Single","Close",41400,3,"Low",6,223,294
"Middle","Female","Own","Single","Close",49100,2,"Low",6,474,1118
"Old","Female","Own","Single","Far",42600,0,"High",24,1790,1042
"Young","Female","Rent","Single","Close",11900,1,"Low",6,143,848
"Middle","Male","Own","Married","Far",113600,2,"High",18,3237,139
"Middle","Male","Own","Single","Close",52900,1,NA,24,2316,89
"Young","Female","Rent","Single","Close",14300,1,NA,18,458,648
"Young","Male","Rent","Single","Close",21000,0,"Low",24,646,1185
"Middle","Male","Own","Single","Far",59600,2,"Medium",18,1217,484
"Middle","Female","Rent","Single","Close",39700,3,"Low",12,238,623
"Old","Male","Own","Married","Close",51200,0,"Medium",12,1293,231
"Middle","Female","Own","Married","Close",88200,0,NA,24,2749,89
"Middle","Male","Own","Married","Far",122100,0,"High",12,2408,869
"Old","Female","Rent","Married","Close",84800,0,"High",18,2624,15
"Middle","Male","Own","Married","Far",140000,0,"High",12,4894,865
"Old","Female","Own","Single","Close",28500,0,"Low",24,621,521
"Middle","Male","Rent","Single","Close",60300,0,"High",6,701,1101
"Young","Female","Rent","Married","Far",51900,0,NA,6,780,897
"Middle","Male","Own","Single","Close",60200,0,"Medium",12,1365,1052
"Middle","Male","Own","Married","Far",81200,0,"High",12,2693,778
"Old","Male","Own","Married","Close",73100,0,"High",6,1582,246
"Old","Male","Own","Single","Close",45700,0,"Medium",18,724,1035
"Old","Female","Rent","Single","Close",28900,0,"Low",12,830,1058
"Young","Female","Rent","Married","Close",60100,0,NA,18,1594,1116
"Middle","Female","Own","Married","Close",84800,1,NA,12,1826,931
"Old","Female","Own","Married","Close",35000,0,"Medium",6,473,1287
"Young","Female","Rent","Married","Close",61700,0,NA,12,1161,220
"Old","Female","Rent","Married","Close",46900,0,"Medium",6,703,710
"Middle","Female","Own","Married","Close",123600,1,NA,12,1892,379
"Young","Male","Rent","Married","Close",45800,0,"Medium",6,489,520
"Middle","Male","Own","Married","Far",77800,1,"High",18,1813,325
"Middle","Female","Own","Single","Close",48700,1,NA,12,1457,959
"Middle","Female","Rent","Single","Far",39000,3,"Low",6,292,69
"Young","Female","Rent","Married","Close",40000,0,NA,6,613,273
"Middle","Female","Rent","Married","Close",118300,1,NA,18,2681,165
"Young","Female","Own","Single","Close",27100,2,"Low",24,437,472
"Middle","Female","Rent","Married","Close",91000,2,"Medium",6,708,213
"Middle","Female","Own","Married","Close",35300,0,"Medium",24,1093,1033
"Young","Female","Rent","Single","Far",10200,2,"Low",18,213,135
"Young","Female","Rent","Single","Close",12500,1,"Low",6,202,371
"Old","Female","Own","Single","Close",64600,0,NA,6,1298,1205
"Middle","Male","Own","Married","Far",113800,0,NA,12,3273,844
"Middle","Male","Own","Married","Far",113400,3,"High",18,1790,92
"Young","Female","Rent","Single","Close",16900,1,"Low",6,247,439
"Young","Female","Rent","Single","Close",13600,1,"Low",6,183,975
"Middle","Male","Own","Married","Far",100100,1,"High",24,3491,162
"Old","Female","Own","Married","Far",80000,0,"High",6,1985,1260
"Middle","Male","Own","Married","Close",83900,0,"High",24,1721,912
"Middle","Male","Own","Married","Close",77000,0,"High",12,2104,824
"Middle","Female","Rent","Married","Close",72900,3,"Low",6,252,355
"Young","Male","Rent","Married","Close",80700,3,"Low",6,202,232
"Young","Female","Rent","Married","Close",40900,1,"Medium",18,962,439
"Young","Female","Rent","Single","Close",26700,1,NA,12,459,636
"Middle","Male","Own","Married","Close",54700,0,"Medium",18,848,774
"Old","Female","Rent","Married","Close",23600,1,"Low",6,161,1221
"Middle","Male","Rent","Single","Far",56900,0,"High",24,1857,146
"Middle","Male","Own","Single","Far",68700,1,NA,24,1699,806
"Young","Female","Rent","Single","Close",19300,1,"Low",24,308,254
"Young","Male","Rent","Married","Far",20200,1,"Low",24,500,599
"Middle","Female","Rent","Married","Far",61500,3,"Medium",24,1162,1119
"Middle","Female","Own","Married","Far",101700,1,NA,24,2551,822
"Middle","Female","Rent","Married","Far",120800,1,"High",24,5830,1227
"Young","Female","Rent","Single","Far",17300,1,"Low",18,381,65
"Young","Female","Rent","Married","Close",42300,0,NA,6,856,833
"Middle","Male","Rent","Single","Close",53300,0,"Medium",18,1720,516
"Middle","Female","Rent","Single","Close",42800,0,"Medium",12,759,416
"Middle","Male","Own","Married","Close",98400,0,"High",18,3305,288
"Middle","Female","Own","Single","Close",51200,0,"Medium",18,1257,1018
"Old","Male","Own","Single","Close",62200,0,NA,12,1583,779
"Middle","Male","Own","Married","Close",109200,3,"Low",24,1102,303
"Young","Female","Rent","Single","Close",11400,2,NA,6,186,1054
"Young","Female","Rent","Single","Close",14000,0,"Low",12,229,246
"Old","Female","Rent","Married","Close",97000,0,NA,24,2599,1131
"Young","Female","Own","Single","Far",29600,3,NA,12,774,1221
"Old","Male","Own","Married","Close",71200,1,"Medium",12,638,945
"Old","Female","Rent","Single","Far",15000,0,"Low",12,378,287
"Middle","Male","Rent","Married","Far",64000,1,NA,6,1552,280
"Old","Male","Own","Married","Far",33000,0,"Medium",12,979,16
"Old","Female","Own","Married","Close",74400,0,"High",18,2479,704
"Young","Male","Rent","Single","Far",20300,2,"Low",24,450,787
"Middle","Male","Rent","Married","Close",68700,0,"High",24,2763,555
"Young","Male","Rent","Married","Far",53600,3,"Medium",24,1560,205
"Old","Female","Own","Single","Close",33200,0,"Medium",24,1037,496
"Young","Female","Own","Married","Far",70900,0,NA,6,690,170
"Young","Female","Rent","Single","Close",23200,3,NA,24,770,1124
"Young","Male","Own","Single","Close",41400,0,"Medium",18,643,489
"Young","Female","Rent","Married","Close",63200,0,"High",24,1512,1083
"Old","Male","Own","Married","Close",107400,0,"High",12,1485,370
"Young","Male","Rent","Single","Far",13900,0,NA,24,570,456
"Middle","Female","Rent","Married","Close",79900,1,"Medium",18,1165,852
"Middle","Male","Own","Married","Far",120000,3,"High",18,1926,1086
"Old","Male","Rent","Married","Far",66300,0,NA,18,2243,571
"Middle","Female","Own","Single","Close",54400,3,"Low",18,342,695
"Middle","Male","Own","Married","Close",84200,0,"High",24,1654,502
"Young","Female","Rent","Married","Close",13800,0,"Low",18,363,479
"Young","Female","Rent","Single","Far",14500,1,"Low",6,222,537
"Young","Male","Rent","Single","Close",21300,0,"Low",24,677,977
"Old","Male","Rent","Single","Close",29000,0,"Low",6,482,854
"Old","Female","Rent","Single","Close",14600,1,"Low",24,385,957
"Old","Male","Own","Single","Close",65300,0,"High",18,1443,808
"Middle","Female","Own","Married","Close",100800,1,"High",24,1789,708
"Young","Female","Rent","Single","Far",19800,1,"Low",24,991,110
"Middle","Male","Own","Single","Close",56700,2,"Low",18,536,852
"Old","Male","Rent","Married","Close",90200,0,"High",18,2183,932
"Young","Male","Rent","Single","Close",26100,1,NA,6,494,94
"Young","Female","Rent","Single","Close",15900,0,"Low",18,503,93
"Young","Female","Rent","Single","Close",12700,3,"Low",12,87,576
"Middle","Male","Rent","Single","Close",43200,0,NA,24,917,328
"Middle","Female","Rent","Married","Close",114100,1,NA,24,1976,571
"Middle","Male","Own","Married","Close",96100,3,"Low",12,316,769
"Middle","Male","Own","Married","Close",97200,0,NA,12,1634,1003
"Middle","Male","Own","Married","Far",82400,2,"High",24,2035,1052
"Old","Male","Own","Single","Far",62000,0,"High",24,3293,1297
"Young","Female","Rent","Single","Close",13400,1,"Low",12,143,598
"Middle","Male","Own","Married","Close",108200,3,"Low",12,635,605
"Young","Female","Own","Married","Close",76200,0,"High",12,979,872
"Middle","Male","Rent","Married","Close",81800,1,"High",18,1838,370
"Young","Female","Rent","Single","Far",12000,0,"Low",6,264,19
"Middle","Male","Own","Married","Close",76100,0,NA,6,719,262
"Middle","Male","Own","Married","Close",82100,1,"High",18,1308,234
"Old","Female","Own","Married","Close",103300,0,"High",24,3378,353
"Young","Male","Rent","Single","Close",14200,1,NA,24,400,374
"Middle","Female","Own","Single","Far",47500,0,"High",6,847,958
"Young","Female","Rent","Single","Close",31300,1,"Low",6,357,1149
"Young","Female","Rent","Married","Far",32700,1,NA,18,1276,633
"Middle","Male","Own","Married","Close",72200,0,"High",24,2492,477
"Middle","Female","Own","Married","Close",107600,2,"Medium",12,1512,607
"Middle","Male","Own","Married","Close",109900,2,"Medium",12,870,1170
"Middle","Female","Own","Married","Close",65400,2,"Medium",24,938,579
"Old","Female","Own","Single","Close",43300,0,NA,12,1584,55
"Old","Female","Own","Single","Close",51900,0,"Medium",12,1148,154
"Middle","Female","Own","Married","Far",80600,0,"High",24,2840,569
"Middle","Female","Rent","Single","Close",42700,0,"Medium",12,827,452
"Young","Male","Rent","Single","Far",19000,0,NA,12,428,1033
"Young","Female","Rent","Single","Close",14500,1,"Low",6,183,139
"Middle","Female","Own","Married","Close",68200,1,NA,6,818,619
"Young","Male","Rent","Married","Close",36700,0,"Medium",12,731,1053
"Old","Male","Own","Married","Far",54600,0,"High",24,2163,103
"Middle","Male","Own","Married","Close",65900,1,"Medium",12,1081,1168
"Young","Male","Own","Single","Far",39600,0,NA,12,1085,1138
"Young","Male","Rent","Married","Far",67300,3,NA,6,1212,540
"Middle","Male","Own","Single","Close",59700,1,NA,18,1422,546
"Middle","Female","Own","Married","Far",102800,2,"High",18,2238,200
"Middle","Female","Rent","Single","Close",34700,0,NA,18,1615,448
"Middle","Male","Own","Single","Close",50600,3,NA,6,713,823
"Middle","Male","Rent","Married","Close",106700,2,"Medium",6,607,273
"Middle","Male","Rent","Single","Close",53900,1,"Medium",6,735,1096
"Young","Female","Rent","Married","Close",25500,2,"Low",6,139,480
"Young","Male","Rent","Married","Far",46300,1,"Medium",18,1357,501
"Old","Male","Own","Married","Close",55500,0,"Medium",18,858,42
"Young","Female","Own","Single","Close",27800,3,NA,12,408,76
"Middle","Male","Own","Married","Close",118600,1,NA,12,1553,1069
"Middle","Female","Own","Married","Close",130700,3,NA,6,2070,94
"Old","Male","Rent","Single","Close",42800,0,"Medium",12,922,110
"Middle","Female","Own","Married","Far",118300,1,"High",12,2502,393
"Young","Female","Rent","Single","Far",25600,2,NA,18,426,855
"Middle","Male","Rent","Married","Close",63500,2,NA,24,2321,75
"Old","Female","Own","Single","Close",30900,0,"Medium",18,862,1106
"Middle","Male","Own","Single","Close",55900,1,NA,24,2555,231
"Middle","Male","Own","Single","Far",53900,0,NA,12,1186,301
"Old","Male","Own","Married","Close",84300,0,"High",24,2842,815
"Old","Male","Own","Single","Close",53400,1,"Medium",12,886,549
"Middle","Male","Own","Married","Close",96900,1,"High",12,1420,1240
"Middle","Male","Rent","Single","Far",55800,1,NA,6,821,255
"Young","Female","Rent","Married","Close",25900,1,"Low",6,242,591
"Young","Female","Rent","Single","Close",22000,1,"Low",12,472,400
"Middle","Female","Rent","Married","Close",96700,2,"Medium",12,1231,276
"Middle","Female","Rent","Single","Close",40200,1,NA,12,881,1057
"Old","Male","Own","Married","Close",26800,0,"Low",12,435,454
"Young","Female","Rent","Single","Close",16700,2,"Low",12,108,759
"Young","Female","Rent","Married","Close",40900,2,"Low",18,576,991
"Young","Male","Rent","Married","Far",41500,3,NA,24,1314,1047
"Young","Male","Rent","Single","Close",20900,0,NA,6,296,459
"Young","Female","Rent","Married","Close",69700,2,"Medium",6,584,1190
"Middle","Male","Rent","Single","Close",61800,0,"High",24,1156,1096
"Middle","Male","Own","Married","Close",102500,1,"High",24,2464,250
