PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
1,0,3,male,22,1,0,S
2,1,1,female,38,1,0,C
3,1,3,female,26,0,0,S
4,1,1,female,35,1,0,S
5,0,3,male,35,0,0,S
6,0,3,male,,0,0,Q
7,0,1,male,54,0,0,S
8,0,3,male,2,3,1,S
9,1,3,female,27,0,2,S
10,1,2,female,14,1,0,C
11,1,3,female,4,1,1,S
12,1,1,female,58,0,0,S
13,0,3,male,20,0,0,S
14,0,3,male,39,1,5,S
15,0,3,female,14,0,0,S
16,1,2,female,55,0,0,S
17,0,3,male,2,4,1,Q
18,1,2,male,,0,0,S
19,0,3,female,31,1,0,S
20,1,3,female,,0,0,C
21,0,2,male,35,0,0,S
22,1,2,male,34,0,0,S
23,1,3,female,15,0,0,Q
24,1,1,male,28,0,0,S
25,0,3,female,8,3,1,S
26,1,3,female,38,1,5,S
27,0,3,male,,0,0,C
28,0,1,male,19,3,2,S
29,1,3,female,,0,0,Q
30,0,3,male,,0,0,S
31,0,1,male,40,0,0,C
32,1,1,female,,1,0,C
33,1,3,female,,0,0,Q
34,0,2,male,66,0,0,S
35,0,1,male,28,1,0,C
36,0,1,male,42,1,0,S
37,1,3,male,,0,0,C
38,0,3,male,21,0,0,S
39,0,3,female,18,2,0,S
40,1,3,female,14,1,0,C
41,0,3,female,40,1,0,S
42,0,2,female,27,1,0,S
43,0,3,male,,0,0,C
44,1,2,female,3,1,2,C
45,1,3,female,19,0,0,Q
46,0,3,male,,0,0,S
47,0,3,male,,1,0,Q
48,1,3,female,,0,0,Q
49,0,3,male,,2,0,C
50,0,3,female,18,1,0,S
51,0,3,male,7,4,1,S
52,0,3,male,21,0,0,S
53,1,1,female,49,1,0,C
54,1,2,female,29,1,0,S
55,0,1,male,65,0,1,C
56,1,1,male,,0,0,S
57,1,2,female,21,0,0,S
58,0,3,male,28.5,0,0,C
59,1,2,female,5,1,2,S
60,0,3,male,11,5,2,S
61,0,3,male,22,0,0,C
62,1,1,female,38,0,0,
63,0,1,male,45,1,0,S
64,0,3,male,4,3,2,S
65,0,1,male,,0,0,C
66,1,3,male,,1,1,C
67,1,2,female,29,0,0,S
68,0,3,male,19,0,0,S
69,1,3,female,17,4,2,S
70,0,3,male,26,2,0,S
71,0,2,male,32,0,0,S
72,0,3,female,16,5,2,S
73,0,2,male,21,0,0,S
74,0,3,male,26,1,0,C
75,1,3,male,32,0,0,S
76,0,3,male,25,0,0,S
77,0,3,male,,0,0,S
78,0,3,male,,0,0,S
79,1,2,male,0.83,0,2,S
80,1,3,female,30,0,0,S
81,0,3,male,22,0,0,S
82,1,3,male,29,0,0,S
83,1,3,female,,0,0,Q
84,0,1,male,28,0,0,S
85,1,2,female,17,0,0,S
86,1,3,female,33,3,0,S
87,0,3,male,16,1,3,S
88,0,3,male,,0,0,S
89,1,1,female,23,3,2,S
90,0,3,male,24,0,0,S
91,0,3,male,29,0,0,S
92,0,3,male,20,0,0,S
93,0,1,male,46,1,0,S
94,0,3,male,26,1,2,S
95,0,3,male,59,0,0,S
96,0,3,male,,0,0,S
97,0,1,male,71,0,0,C
98,1,1,male,23,0,1,C
99,1,2,female,34,0,1,S
100,0,2,male,34,1,0,S
101,0,3,female,28,0,0,S
102,0,3,male,,0,0,S
103,0,1,male,21,0,1,S
104,0,3,male,33,0,0,S
105,0,3,male,37,2,0,S
106,0,3,male,28,0,0,S
107,1,3,female,21,0,0,S
108,1,3,male,,0,0,S
109,0,3,male,38,0,0,S
110,1,3,female,,1,0,Q
111,0,1,male,47,0,0,S
112,0,3,female,14.5,1,0,C
113,0,3,male,22,0,0,S
114,0,3,female,20,1,0,S
115,0,3,female,17,0,0,C
116,0,3,male,21,0,0,S
117,0,3,male,70.5,0,0,Q
118,0,2,male,29,1,0,S
119,0,1,male,24,0,1,C
120,0,3,female,2,4,2,S
121,0,2,male,21,2,0,S
122,0,3,male,,0,0,S
123,0,2,male,32.5,1,0,C
124,1,2,female,32.5,0,0,S
125,0,1,male,54,0,1,S
126,1,3,male,12,1,0,C
127,0,3,male,,0,0,Q
128,1,3,male,24,0,0,S
129,1,3,female,,1,1,C
130,0,3,male,45,0,0,S
131,0,3,male,33,0,0,C
132,0,3,male,20,0,0,S
133,0,3,female,47,1,0,S
134,1,2,female,29,1,0,S
135,0,2,male,25,0,0,S
136,0,2,male,23,0,0,C
137,1,1,female,19,0,2,S
138,0,1,male,37,1,0,S
139,0,3,male,16,0,0,S
140,0,1,male,24,0,0,C
141,0,3,female,,0,2,C
142,1,3,female,22,0,0,S
143,1,3,female,24,1,0,S
144,0,3,male,19,0,0,Q
145,0,2,male,18,0,0,S
146,0,2,male,19,1,1,S
147,1,3,male,27,0,0,S
148,0,3,female,9,2,2,S
149,0,2,male,36.5,0,2,S
150,0,2,male,42,0,0,S
151,0,2,male,51,0,0,S
152,1,1,female,22,1,0,S
153,0,3,male,55.5,0,0,S
154,0,3,male,40.5,0,2,S
155,0,3,male,,0,0,S
156,0,1,male,51,0,1,C
157,1,3,female,16,0,0,Q
158,0,3,male,30,0,0,S
159,0,3,male,,0,0,S
160,0,3,male,,8,2,S
161,0,3,male,44,0,1,S
162,1,2,female,40,0,0,S
163,0,3,male,26,0,0,S
164,0,3,male,17,0,0,S
165,0,3,male,1,4,1,S
166,1,3,male,9,0,2,S
167,1,1,female,,0,1,S
168,0,3,female,45,1,4,S
169,0,1,male,,0,0,S
170,0,3,male,28,0,0,S
171,0,1,male,61,0,0,S
172,0,3,male,4,4,1,Q
173,1,3,female,1,1,1,S
174,0,3,male,21,0,0,S
175,0,1,male,56,0,0,C
176,0,3,male,18,1,1,S
177,0,3,male,,3,1,S
178,0,1,female,50,0,0,C
179,0,2,male,30,0,0,S
180,0,3,male,36,0,0,S
181,0,3,female,,8,2,S
182,0,2,male,,0,0,C
183,0,3,male,9,4,2,S
184,1,2,male,1,2,1,S
185,1,3,female,4,0,2,S
186,0,1,male,,0,0,S
187,1,3,female,,1,0,Q
188,1,1,male,45,0,0,S
189,0,3,male,40,1,1,Q
190,0,3,male,36,0,0,S
191,1,2,female,32,0,0,S
192,0,2,male,19,0,0,S
193,1,3,female,19,1,0,S
194,1,2,male,3,1,1,S
195,1,1,female,44,0,0,C
196,1,1,female,58,0,0,C
197,0,3,male,,0,0,Q
198,0,3,male,42,0,1,S
199,1,3,female,,0,0,Q
200,0,2,female,24,0,0,S
201,0,3,male,28,0,0,S
202,0,3,male,,8,2,S
203,0,3,male,34,0,0,S
204,0,3,male,45.5,0,0,C
205,1,3,male,18,0,0,S
206,0,3,female,2,0,1,S
207,0,3,male,32,1,0,S
208,1,3,male,26,0,0,C
209,1,3,female,16,0,0,Q
210,1,1,male,40,0,0,C
211,0,3,male,24,0,0,S
212,1,2,female,35,0,0,S
213,0,3,male,22,0,0,S
214,0,2,male,30,0,0,S
215,0,3,male,,1,0,Q
216,1,1,female,31,1,0,C
217,1,3,female,27,0,0,S
218,0,2,male,42,1,0,S
219,1,1,female,32,0,0,C
220,0,2,male,30,0,0,S
221,1,3,male,16,0,0,S
222,0,2,male,27,0,0,S
223,0,3,male,51,0,0,S
224,0,3,male,,0,0,S
225,1,1,male,38,1,0,S
226,0,3,male,22,0,0,S
227,1,2,male,19,0,0,S
228,0,3,male,20.5,0,0,S
229,0,2,male,18,0,0,S
230,0,3,female,,3,1,S
231,1,1,female,35,1,0,S
232,0,3,male,29,0,0,S
233,0,2,male,59,0,0,S
234,1,3,female,5,4,2,S
235,0,2,male,24,0,0,S
236,0,3,female,,0,0,S
237,0,2,male,44,1,0,S
238,1,2,female,8,0,2,S
239,0,2,male,19,0,0,S
240,0,2,male,33,0,0,S
241,0,3,female,,1,0,C
242,1,3,female,,1,0,Q
243,0,2,male,29,0,0,S
244,0,3,male,22,0,0,S
245,0,3,male,30,0,0,C
246,0,1,male,44,2,0,Q
247,0,3,female,25,0,0,S
248,1,2,female,24,0,2,S
249,1,1,male,37,1,1,S
250,0,2,male,54,1,0,S
251,0,3,male,,0,0,S
252,0,3,female,29,1,1,S
253,0,1,male,62,0,0,S
254,0,3,male,30,1,0,S
255,0,3,female,41,0,2,S
256,1,3,female,29,0,2,C
257,1,1,female,,0,0,C
258,1,1,female,30,0,0,S
259,1,1,female,35,0,0,C
260,1,2,female,50,0,1,S
261,0,3,male,,0,0,Q
262,1,3,male,3,4,2,S
263,0,1,male,52,1,1,S
264,0,1,male,40,0,0,S
265,0,3,female,,0,0,Q
266,0,2,male,36,0,0,S
267,0,3,male,16,4,1,S
268,1,3,male,25,1,0,S
269,1,1,female,58,0,1,S
270,1,1,female,35,0,0,S
271,0,1,male,,0,0,S
272,1,3,male,25,0,0,S
273,1,2,female,41,0,1,S
274,0,1,male,37,0,1,C
275,1,3,female,,0,0,Q
276,1,1,female,63,1,0,S
277,0,3,female,45,0,0,S
278,0,2,male,,0,0,S
279,0,3,male,7,4,1,Q
280,1,3,female,35,1,1,S
281,0,3,male,65,0,0,Q
282,0,3,male,28,0,0,S
283,0,3,male,16,0,0,S
284,1,3,male,19,0,0,S
285,0,1,male,,0,0,S
286,0,3,male,33,0,0,C
287,1,3,male,30,0,0,S
288,0,3,male,22,0,0,S
289,1,2,male,42,0,0,S
290,1,3,female,22,0,0,Q
291,1,1,female,26,0,0,S
292,1,1,female,19,1,0,C
293,0,2,male,36,0,0,C
294,0,3,female,24,0,0,S
295,0,3,male,24,0,0,S
296,0,1,male,,0,0,C
297,0,3,male,23.5,0,0,C
298,0,1,female,2,1,2,S
299,1,1,male,,0,0,S
300,1,1,female,50,0,1,C
301,1,3,female,,0,0,Q
302,1,3,male,,2,0,Q
303,0,3,male,19,0,0,S
304,1,2,female,,0,0,Q
305,0,3,male,,0,0,S
306,1,1,male,0.92,1,2,S
307,1,1,female,,0,0,C
308,1,1,female,17,1,0,C
309,0,2,male,30,1,0,C
310,1,1,female,30,0,0,C
311,1,1,female,24,0,0,C
312,1,1,female,18,2,2,C
313,0,2,female,26,1,1,S
314,0,3,male,28,0,0,S
315,0,2,male,43,1,1,S
316,1,3,female,26,0,0,S
317,1,2,female,24,1,0,S
318,0,2,male,54,0,0,S
319,1,1,female,31,0,2,S
320,1,1,female,40,1,1,C
321,0,3,male,22,0,0,S
322,0,3,male,27,0,0,S
323,1,2,female,30,0,0,Q
324,1,2,female,22,1,1,S
325,0,3,male,,8,2,S
326,1,1,female,36,0,0,C
327,0,3,male,61,0,0,S
328,1,2,female,36,0,0,S
329,1,3,female,31,1,1,S
330,1,1,female,16,0,1,C
331,1,3,female,,2,0,Q
332,0,1,male,45.5,0,0,S
333,0,1,male,38,0,1,S
334,0,3,male,16,2,0,S
335,1,1,female,,1,0,S
336,0,3,male,,0,0,S
337,0,1,male,29,1,0,S
338,1,1,female,41,0,0,C
339,1,3,male,45,0,0,S
340,0,1,male,45,0,0,S
341,1,2,male,2,1,1,S
342,1,1,female,24,3,2,S
343,0,2,male,28,0,0,S
344,0,2,male,25,0,0,S
345,0,2,male,36,0,0,S
346,1,2,female,24,0,0,S
347,1,2,female,40,0,0,S
348,1,3,female,,1,0,S
349,1,3,male,3,1,1,S
350,0,3,male,42,0,0,S
351,0,3,male,23,0,0,S
352,0,1,male,,0,0,S
353,0,3,male,15,1,1,C
354,0,3,male,25,1,0,S
355,0,3,male,,0,0,C
356,0,3,male,28,0,0,S
357,1,1,female,22,0,1,S
358,0,2,female,38,0,0,S
359,1,3,female,,0,0,Q
360,1,3,female,,0,0,Q
361,0,3,male,40,1,4,S
362,0,2,male,29,1,0,C
363,0,3,female,45,0,1,C
364,0,3,male,35,0,0,S
365,0,3,male,,1,0,Q
366,0,3,male,30,0,0,S
367,1,1,female,60,1,0,C
368,1,3,female,,0,0,C
369,1,3,female,,0,0,Q
370,1,1,female,24,0,0,C
371,1,1,male,25,1,0,C
372,0,3,male,18,1,0,S
373,0,3,male,19,0,0,S
374,0,1,male,22,0,0,C
375,0,3,female,3,3,1,S
376,1,1,female,,1,0,C
377,1,3,female,22,0,0,S
378,0,1,male,27,0,2,C
379,0,3,male,20,0,0,C
380,0,3,male,19,0,0,S
381,1,1,female,42,0,0,C
382,1,3,female,1,0,2,C
383,0,3,male,32,0,0,S
384,1,1,female,35,1,0,S
385,0,3,male,,0,0,S
386,0,2,male,18,0,0,S
387,0,3,male,1,5,2,S
388,1,2,female,36,0,0,S
389,0,3,male,,0,0,Q
390,1,2,female,17,0,0,C
391,1,1,male,36,1,2,S
392,1,3,male,21,0,0,S
393,0,3,male,28,2,0,S
394,1,1,female,23,1,0,C
395,1,3,female,24,0,2,S
396,0,3,male,22,0,0,S
397,0,3,female,31,0,0,S
398,0,2,male,46,0,0,S
399,0,2,male,23,0,0,S
400,1,2,female,28,0,0,S
401,1,3,male,39,0,0,S
402,0,3,male,26,0,0,S
403,0,3,female,21,1,0,S
404,0,3,male,28,1,0,S
405,0,3,female,20,0,0,S
406,0,2,male,34,1,0,S
407,0,3,male,51,0,0,S
408,1,2,male,3,1,1,S
409,0,3,male,21,0,0,S
410,0,3,female,,3,1,S
411,0,3,male,,0,0,S
412,0,3,male,,0,0,Q
413,1,1,female,33,1,0,Q
414,0,2,male,,0,0,S
415,1,3,male,44,0,0,S
416,0,3,female,,0,0,S
417,1,2,female,34,1,1,S
418,1,2,female,18,0,2,S
419,0,2,male,30,0,0,S
420,0,3,female,10,0,2,S
421,0,3,male,,0,0,C
422,0,3,male,21,0,0,Q
423,0,3,male,29,0,0,S
424,0,3,female,28,1,1,S
425,0,3,male,18,1,1,S
426,0,3,male,,0,0,S
427,1,2,female,28,1,0,S
428,1,2,female,19,0,0,S
429,0,3,male,,0,0,Q
430,1,3,male,32,0,0,S
431,1,1,male,28,0,0,S
432,1,3,female,,1,0,S
433,1,2,female,42,1,0,S
434,0,3,male,17,0,0,S
435,0,1,male,50,1,0,S
436,1,1,female,14,1,2,S
437,0,3,female,21,2,2,S
438,1,2,female,24,2,3,S
439,0,1,male,64,1,4,S
440,0,2,male,31,0,0,S
441,1,2,female,45,1,1,S
442,0,3,male,20,0,0,S
443,0,3,male,25,1,0,S
444,1,2,female,28,0,0,S
445,1,3,male,,0,0,S
